method,path,body,single_q,double_q,dashes,braces,spaces,badwords,class
GET,/,,0,0,0,0,0,0,good
GET,/,,0,0,0,0,0,0,good
GET,/,,0,0,0,0,0,0,good
GET,/,,0,0,0,0,0,2,bad
GET,/,,0,0,0,0,0,0,good
GET,/.idea,,0,0,0,0,0,0,good
GET,/.idea/,,0,0,0,0,0,0,good
GET,/.idea/.name,,0,0,0,0,0,0,good
GET,/.idea/acuart.iml,,0,0,0,0,0,0,good
GET,/.idea/encodings.xml,,0,0,0,0,0,0,good
GET,/.idea/misc.xml,,0,0,0,0,0,0,good
GET,/.idea/modules.xml,,0,0,0,0,0,0,good
GET,/.idea/scopes,,0,0,0,0,0,0,good
GET,/.idea/scopes/,,0,0,0,0,0,0,good
GET,/.idea/scopes/scope_settings.xml,,0,0,0,0,0,0,good
GET,/.idea/vcs.xml,,0,0,0,0,0,0,good
GET,/.idea/workspace.xml,,0,0,0,0,0,0,good
GET,/_mmServerScripts,,0,0,0,0,0,0,good
GET,/_mmServerScripts/,,0,0,0,0,0,0,good
GET,/_mmServerScripts/MMHTTPDB.php,,0,0,0,0,0,0,good
GET,/_mmServerScripts/mysql.php,,0,0,0,0,0,0,good
GET,/_vti_cnf/acublog.csproj,,0,0,0,0,0,0,bad
GET,/_vti_cnf/acublog.csproj,,0,0,0,0,0,0,good
GET,/404.php,,0,0,0,0,0,0,good
GET,/about.aspx,,0,0,0,0,0,0,bad
GET,/about.aspx,,0,0,0,0,0,0,good
POST,/about.aspx,__EVENTARGUMENT=1&__EVENTTARGET=1&__EVENTVALIDATION=/wEWVwKqq9H0CQKJlpzeDwKOltTPCALcy6fWCQLcy6fWCQLcy9vqAgLcy9vqAgLcy4/SDwLcy4/SDwLcy6PpCALcy6PpCAKx0o2eCgKx0o2eCgKx0qG1AwKx0qG1AwKx0tXJDAKx0tXJDAKx0snsBQKx0snsBQKx0v2DDQKx0v2DDQKx0pGmBgKx0pGmBgKx0oX9DwKx0oX9DwKx0rmQBwKx0rmQBwKx0u35BQKx0u35BQKx0oGcDQKx0oGcDQKK%2bZMFAor5kwUCivmH2AkCivmH2AkCivm7/wICivm7/wICivmvkgoCivmvkgoCivnDtgMCivnDtgMCivn3zQwCivn3zQwCivnr4AUCivnr4AUCivmfhw0Civmfhw0Civnz7AsCivnz7AsCivnngwMCivnngwMCv5PTxAkCv5PTxAkCv5PHmwECv5PHmwECv5P7vgoCv5P7vgoCv5Pv1QMCv5Pv1QMCv5OD6AwCv5OD6AwCv5O3jwQCv5O3jwQCv5Orog0Cv5Orog0Cv5PfxgYCv5PfxgYCv5OzrgMCv5OzrgMCv5OnxQwCv5OnxQwCkLqx6g8CkLqx6g8CkLqlgQcCkLqlgQcCkLrZJQKQutklApC6zfgJApC6zfgJApC64Z8BApC64Z8BApC6lbIKApC6lbIKApC6ickDApC6ickDApC6vewMApC6vewMmug7diUb9KGinCEwq6elaFg9lYM=&__VIEWSTATE=/wEPDwUKLTEwNTI0MjkwNQ9kFgICAQ9kFgICAQ9kFgQCAQ8WBB4EaHJlZgUKbG9naW4uYXNweB4JaW5uZXJodG1sBQVsb2dpbmQCAw8WBB8AZB4HVmlzaWJsZWhkZLDaiLtIJBFGHdHW8BBidJDZ856t&__VIEWSTATEGENERATOR=E809BCA5,0,0,0,0,0,0,bad
POST,/about.aspx,__EVENTARGUMENT=1&__EVENTTARGET=1&__EVENTVALIDATION=/wEWVwKqq9H0CQKJlpzeDwKOltTPCALcy6fWCQLcy6fWCQLcy9vqAgLcy9vqAgLcy4/SDwLcy4/SDwLcy6PpCALcy6PpCAKx0o2eCgKx0o2eCgKx0qG1AwKx0qG1AwKx0tXJDAKx0tXJDAKx0snsBQKx0snsBQKx0v2DDQKx0v2DDQKx0pGmBgKx0pGmBgKx0oX9DwKx0oX9DwKx0rmQBwKx0rmQBwKx0u35BQKx0u35BQKx0oGcDQKx0oGcDQKK%2bZMFAor5kwUCivmH2AkCivmH2AkCivm7/wICivm7/wICivmvkgoCivmvkgoCivnDtgMCivnDtgMCivn3zQwCivn3zQwCivnr4AUCivnr4AUCivmfhw0Civmfhw0Civnz7AsCivnz7AsCivnngwMCivnngwMCv5PTxAkCv5PTxAkCv5PHmwECv5PHmwECv5P7vgoCv5P7vgoCv5Pv1QMCv5Pv1QMCv5OD6AwCv5OD6AwCv5O3jwQCv5O3jwQCv5Orog0Cv5Orog0Cv5PfxgYCv5PfxgYCv5OzrgMCv5OzrgMCv5OnxQwCv5OnxQwCkLqx6g8CkLqx6g8CkLqlgQcCkLqlgQcCkLrZJQKQutklApC6zfgJApC6zfgJApC64Z8BApC64Z8BApC6lbIKApC6lbIKApC6ickDApC6ickDApC6vewMApC6vewMmug7diUb9KGinCEwq6elaFg9lYM=&__VIEWSTATE=/wEPDwUKLTEwNTI0MjkwNQ9kFgICAQ9kFgICAQ9kFgQCAQ8WBB4EaHJlZgUKbG9naW4uYXNweB4JaW5uZXJodG1sBQVsb2dpbmQCAw8WBB8AZB4HVmlzaWJsZWhkZLDaiLtIJBFGHdHW8BBidJDZ856t&__VIEWSTATEGENERATOR=E809BCA5,0,0,0,0,0,0,good
GET,/acublog.csproj,,0,0,0,0,0,0,bad
GET,/acublog.csproj,,0,0,0,0,0,0,good
GET,/adm1nPan3l,,0,0,0,0,0,0,good
GET,/adm1nPan3l/,,0,0,0,0,0,0,good
GET,/adm1nPan3l/index.php,,0,0,0,0,0,0,good
GET,/admin,,0,0,0,0,0,0,good
GET,/admin/,,0,0,0,0,0,0,good
GET,/admin/create.sql,,0,0,0,0,0,0,good
GET,/ads/def.html,,0,0,0,0,0,0,bad
GET,/ads/def.html,,0,0,0,0,0,0,good
GET,/AJAX,,0,0,0,0,0,0,good
GET,/AJAX/,,0,0,0,0,0,0,good
GET,/ajax/archive,,0,0,0,0,0,0,good
GET,/AJAX/artists.php,,0,0,0,0,0,0,good
GET,/AJAX/categories.php,,0,0,0,0,0,0,good
GET,/AJAX/htaccess.conf,,0,0,0,0,0,0,good
GET,/AJAX/index.php,,0,0,0,0,0,0,good
GET,/AJAX/infoartist.php,,0,0,0,0,0,0,good
GET,/AJAX/infoartist.php?id=1,,0,0,0,0,0,0,good
GET,/AJAX/infoartist.php?id=2,,0,0,0,0,0,0,good
GET,/AJAX/infoartist.php?id=3,,0,0,0,0,0,0,good
GET,/AJAX/infocateg.php,,0,0,0,0,0,0,good
GET,/AJAX/infocateg.php?id=1,,0,0,0,0,0,0,good
GET,/AJAX/infotitle.php,,0,0,0,0,0,0,good
GET,/ajax/latest,,0,0,0,0,0,0,good
GET,/ajax/latest?offset=0,,0,0,0,0,0,0,good
GET,/ajax/latest?offset=5,,0,0,0,0,0,0,good
GET,/ajax/latest?offset=-5,,0,0,0,0,0,0,good
GET,/ajax/latest?offset=NaN,,0,0,0,0,0,0,good
GET,/ajax/popular,,0,0,0,0,0,0,good
GET,/ajax/popular?offset=0,,0,0,0,0,0,0,good
GET,/ajax/popular?offset=10,,0,0,0,0,0,0,good
GET,/ajax/popular?offset=5,,0,0,0,0,0,0,good
GET,/ajax/popular?offset=-5,,0,0,0,0,0,0,good
GET,/ajax/popular?offset=NaN,,0,0,0,0,0,0,good
GET,/AJAX/showxml.php,,0,0,0,0,0,0,good
POST,/AJAX/showxml.php,"<xml><node name=""nodename1"">nodetext1</node><node name=""nodename2"">nodetext2</node></xml>",0,4,0,0,2,0,good
GET,/AJAX/titles.php,,0,0,0,0,0,0,good
GET,/artists.php,,0,0,0,0,0,0,good
GET,/artists.php?artist=1,,0,0,0,0,0,0,good
GET,/artists.php?artist=2,,0,0,0,0,0,0,good
GET,/artists.php?artist=3,,0,0,0,0,0,0,good
GET,/bxss,,0,0,0,0,0,0,good
GET,/bxss/,,0,0,0,0,0,0,good
GET,/bxss/adminPan3l,,0,0,0,0,0,0,good
GET,/bxss/adminPan3l/,,0,0,0,0,0,0,good
GET,/bxss/adminPan3l/index.php,,0,0,0,0,0,0,good
GET,/bxss/cleanDatabase.php,,0,0,0,0,0,0,good
GET,/bxss/database_connect.php,,0,0,0,0,0,0,good
GET,/bxss/index.php,,0,0,0,0,0,0,good
GET,/bxss/test.js,,0,0,0,0,0,0,good
GET,/bxss/vuln.php,,0,0,0,0,0,0,good
GET,/bxss/vuln.php?id=1,,0,0,0,0,0,0,good
GET,/cart.php,,0,0,0,0,0,0,good
POST,/cart.php,addcart=1&price=500,0,0,0,0,0,0,good
POST,/cart.php,addcart=2&price=800,0,0,0,0,0,0,good
POST,/cart.php,addcart=3&price=986,0,0,0,0,0,0,good
GET,/categories.php,,0,0,0,0,0,0,good
GET,/cgi-bin/le_check_v3.exe,,0,0,0,0,0,0,bad
GET,/cgi-bin/le_check_v3.exe,,0,0,0,0,0,0,good
GET,/cgi-bin/le_check_v3.exe,,0,0,0,0,0,0,good
GET,/cgi-bin/le_check_v3.exe,,0,0,0,0,0,0,good
GET,/clientaccesspolicy.xml,,0,0,0,0,0,0,good
GET,/comment.php,,0,0,0,0,0,0,good
POST,/comment.php,Submit=Submit&comment=1&name=<your%20name%20here>&phpaction=echo%20%24_POST[comment];,0,0,0,0,3,0,good
GET,/comment.php?aid=1,,0,0,0,0,0,0,good
GET,/comment.php?aid=2,,0,0,0,0,0,0,good
GET,/comment.php?aid=3,,0,0,0,0,0,0,good
GET,/comment.php?pid=1,,0,0,0,0,0,0,good
GET,/comment.php?pid=2,,0,0,0,0,0,0,good
GET,/comment.php?pid=3,,0,0,0,0,0,0,good
GET,/comment.php?pid=4,,0,0,0,0,0,0,good
GET,/comment.php?pid=5,,0,0,0,0,0,0,good
GET,/comment.php?pid=6,,0,0,0,0,0,0,good
GET,/comment.php?pid=7,,0,0,0,0,0,0,good
GET,/comments.aspx,,0,0,0,0,0,0,bad
GET,/comments.aspx,,0,0,0,0,0,0,good
GET,/comments.aspx?id=1,,0,0,0,0,0,0,bad
GET,/comments.aspx?id=1%20AND%203*2*0=6%20AND%20414=414,,0,0,0,0,4,0,bad
GET,/comments.aspx?id=1%20AND%203*2*0=6%20AND%2068=68,,0,0,0,0,4,0,bad
